dataset,uspto_50k
use_rxn_class,False
atom_message,False
use_attn,False
n_heads,8
epochs,150
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,1
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.3005,0.2939,0.4783,0.879
2,0.3995,0.3935,0.5157,0.5421
3,0.424,0.4242,0.5384,0.4906
4,0.4418,0.4456,0.5678,0.464
5,0.4594,0.4703,0.5925,0.4422
6,0.4685,0.4983,0.6166,0.4279
7,0.4754,0.4723,0.6065,0.4162
8,0.4859,0.481,0.5999,0.4032
9,0.4931,0.4997,0.6072,0.3945
10,0.4966,0.4088,0.6052,0.3891
11,0.5021,0.4656,0.6039,0.3818
12,0.5081,0.4903,0.6065,0.3769
13,0.521,0.519,0.6386,0.3559
14,0.53,0.4362,0.6259,0.349
15,0.5344,0.4749,0.6032,0.3419
16,0.5356,0.511,0.6219,0.3381
17,0.5442,0.5197,0.6279,0.332
18,0.5464,0.5157,0.6326,0.3288
19,0.5495,0.5063,0.6226,0.3244
20,0.5614,0.519,0.6353,0.309
21,0.566,0.5217,0.6386,0.3035
22,0.5727,0.5084,0.6386,0.3001
23,0.5766,0.4796,0.6266,0.2953
24,0.5769,0.513,0.6319,0.2931
25,0.5828,0.5384,0.6493,0.2887
26,0.5852,0.4943,0.6386,0.2856
27,0.587,0.519,0.6433,0.2845
28,0.5878,0.5177,0.6513,0.2813
29,0.5909,0.5277,0.6413,0.2781
30,0.5911,0.523,0.6366,0.2784
31,0.5942,0.4496,0.6246,0.2746
32,0.6102,0.5271,0.6406,0.262
33,0.6124,0.4796,0.6433,0.2576
34,0.6149,0.5317,0.6466,0.2542
35,0.6162,0.5377,0.6473,0.2537
36,0.6218,0.5277,0.6393,0.2503
37,0.623,0.5251,0.656,0.2477
38,0.635,0.5244,0.6359,0.2353
39,0.6398,0.523,0.6399,0.2322
40,0.6428,0.5397,0.6533,0.2307
41,0.6447,0.5264,0.654,0.2281
42,0.6461,0.515,0.6486,0.2262
43,0.6526,0.5351,0.648,0.223
44,0.6601,0.5277,0.6493,0.2138
45,0.6653,0.5331,0.6446,0.2109
46,0.6652,0.5397,0.652,0.2087
47,0.6686,0.5371,0.654,0.2082
48,0.672,0.5324,0.6493,0.2054
49,0.6728,0.5117,0.6286,0.204
50,0.6807,0.5438,0.6533,0.198
51,0.6862,0.5451,0.656,0.1943
52,0.6868,0.5264,0.6446,0.1927
53,0.6895,0.5397,0.6573,0.1922
54,0.6897,0.5257,0.6413,0.1923
55,0.6919,0.519,0.6526,0.1889
56,0.7015,0.5344,0.656,0.1825
57,0.7018,0.5411,0.6633,0.1795
58,0.7036,0.5384,0.6566,0.1797
59,0.707,0.5364,0.6506,0.1776
60,0.7076,0.5371,0.6593,0.1769
61,0.7098,0.5244,0.65,0.1751
62,0.713,0.513,0.6546,0.1712
63,0.7172,0.5291,0.6526,0.1694
64,0.7186,0.5344,0.652,0.1688
65,0.72,0.5331,0.6587,0.1665
66,0.7213,0.5284,0.658,0.1666
67,0.7224,0.5377,0.6587,0.1638
68,0.7272,0.5438,0.6647,0.1618
69,0.7308,0.5364,0.658,0.1594
70,0.7308,0.5251,0.6533,0.1588
71,0.73,0.5271,0.6473,0.1588
72,0.7344,0.5357,0.6593,0.1575
73,0.7324,0.5364,0.656,0.1578
74,0.7383,0.5317,0.6627,0.1537
75,0.7418,0.5204,0.6466,0.1526
76,0.7407,0.5304,0.6566,0.1516
77,0.7406,0.5244,0.6566,0.1504
78,0.7444,0.5364,0.658,0.1504
79,0.7447,0.5224,0.6426,0.1485
80,0.7462,0.5337,0.6573,0.148
81,0.7508,0.5291,0.658,0.1457
82,0.7501,0.5271,0.6533,0.1463
83,0.7511,0.5277,0.6553,0.1452
